object_id,right_ascension,declination,segmentation_area,flux_detection_total,fluxerr_detection_total,vis_det,ellipticity,det_quality_flag,flux_vis_1fwhm_aper,fluxerr_vis_1fwhm_aper,flux_y_1fwhm_aper,fluxerr_y_1fwhm_aper,set_id,role,grade,field,tile_id,mag_total,log_area,reference_rank,match_distance_arcsec,match_delta_mag,match_delta_log_area,match_cost,nearest_published_candidate_arcsec,snr_total,color_vis_y,path_vis,zoobot_candidate_neighbour_fraction,dino_candidate_neighbour_fraction
-523861041287486239,52.38610410148034,-28.74862395170958,1493,22.603673934936523,0.170610100030899,1,0.0750873982906341,2,5.918737411499023,0.0370865240693092,13.741477012634276,19.893388748168945,set_-523861041287486239,candidate,C,fornax,102042914.0,20.514552415406587,3.1740598077250253,0,0.0,0.0,0.0,0.0,0.0,132.48731423780183,0.9145108575956468,data/raw/cutouts/-523861041287486239_VIS.fits,0.8,0.7
-524073599287695837,52.40735998380092,-28.76958377032656,1491,25.527767181396484,0.1982595324516296,1,0.1616472899913787,0,6.064914703369141,0.0398055054247379,16.67576789855957,0.3196279406547546,set_-523861041287486239,reference,unlabelled,fornax,,20.382467924133657,3.1734776434529945,1,100.9630927360537,-0.1320844912729306,-0.0005821642720307,0.2025957160516109,100.96309273605134,128.75934319891843,1.098152861057891,data/raw/cutouts/-524073599287695837_VIS.fits,0.3,0.7
-524846527263742206,52.484652754902186,-26.37422068224872,1778,25.43558120727539,0.2499159276485443,1,0.3060280084609985,0,3.9800100326538086,0.0355111248791217,13.548705101013184,0.2186180055141449,set_-524846527263742206,candidate,C,fornax,102046111.0,20.38639583554464,3.249931756634195,0,0.0,0.0,0.0,0.0,0.0,101.776551205033,1.3300340581603969,data/raw/cutouts/-524846527263742206_VIS.fits,0.9,0.5
-525078224263527402,52.50782242022345,-26.35274029464389,1483,23.301708221435547,0.2002657502889633,1,0.2613604962825775,0,4.055796146392822,0.0301350783556699,5.1170501708984375,0.1517419517040252,set_-524846527263742206,reference,unlabelled,fornax,,20.48153060044463,3.1711411510283822,1,107.54186733644612,0.0951347648999885,-0.0787906056058127,0.2656768121049931,78.63433831236178,116.3539356470766,0.2523588921533573,data/raw/cutouts/-525078224263527402_VIS.fits,0.5,0.5
-526160809272093912,52.61608096269949,-27.20939129869196,1828,29.65979385375977,0.1820637434720993,1,0.3597786128520965,0,7.611284255981445,0.0388525687158107,23.191665649414062,0.3030332922935486,set_-526160809272093912,candidate,C,fornax,102045466.0,20.219579679500185,3.2619761913978125,0,0.0,0.0,0.0,0.0,0.0,162.90884328820275,1.2096849988700962,data/raw/cutouts/-526160809272093912_VIS.fits,0.3,0.7
-526307644271854626,52.63076444596611,-27.185462687069275,1490,26.784990310668945,0.2387587279081344,1,0.6479275226593018,0,4.069457054138184,0.0353409498929977,7.362281322479248,0.1677888184785843,set_-526160809272093912,reference,unlabelled,fornax,,20.33027126598716,3.173186268412274,1,98.1383296030795,0.1106915864869755,-0.0887899229855384,0.3414887072607435,98.13832960308916,112.18434000441997,0.6436898468873248,data/raw/cutouts/-526307644271854626_VIS.fits,0.0,0.1
-526793203294738037,52.67932039383986,-29.4738037612088,2335,27.80746459960937,0.249031513929367,1,0.4106396734714508,2,4.2161173820495605,0.0328985452651977,12.32541561126709,0.2224231362342834,set_-526888815294982643,reference,unlabelled,fornax,,20.289596517465228,3.368286884902131,1,93.01597549211375,0.1428109396996753,0.0890763723007359,0.4323933904076397,93.01597549211009,111.66243244016266,1.164722197157791,data/raw/cutouts/-526793203294738037_VIS.fits,0.1,0.6
-526888815294982643,52.68888150861861,-29.498264398459888,1902,31.716537475585938,0.2221457362174987,1,0.1143777891993522,2,5.336310386657715,0.0396912470459938,18.30379295349121,0.2573995888233185,set_-526888815294982643,candidate,A,fornax,102042284.0,20.146785577765552,3.279210512601395,0,0.0,0.0,0.0,0.0,0.0,142.77355944627664,1.3382500303719211,data/raw/cutouts/-526888815294982643_VIS.fits,0.7,0.7
-542891812279697972,54.289181214003854,-27.96979729520765,1513,22.12064552307129,0.179936334490776,1,0.1208779364824295,0,5.024539947509766,0.0340515449643135,11.87018871307373,0.2141415774822235,set_-542891812279697972,candidate,B,fornax,102044187.0,20.53800550908096,3.179838928023187,0,0.0,0.0,0.0,0.0,0.0,122.935957241061,0.933403300069872,data/raw/cutouts/-542891812279697972_VIS.fits,1.0,0.7
-543041794279857012,54.30417940170924,-27.985701281344493,1401,22.326635360717773,0.1745093315839767,1,0.235566645860672,2,4.914216995239258,0.0327400751411914,9.46668529510498,0.1989640742540359,set_-542891812279697972,reference,unlabelled,fornax,,20.52794180118544,3.1464381352857744,1,74.51008583043105,-0.0100637078955152,-0.0334007927374124,0.0337753706787493,74.51008583043382,127.93949273694764,0.7118590259545904,data/raw/cutouts/-543041794279857012_VIS.fits,0.3,0.6
-544441184278370667,54.444118487967096,-27.83706673701671,3531,58.15611267089844,0.3465374708175659,1,0.4837336242198944,2,6.649016857147217,0.0412019751965999,9.795458793640137,0.1558418124914169,set_-544517310278613198,reference,unlabelled,fornax,,19.488511576813423,3.547897717563097,1,90.6112086938036,0.1556168078269983,-0.0739015064395705,0.4126481353866685,90.61120869381246,167.8205607425196,0.4206683700268445,data/raw/cutouts/-544441184278370667_VIS.fits,0.7,0.7
-544517310278613198,54.45173100879106,-27.86131985279404,4186,67.11847686767578,0.3625727891921997,1,0.1332420408725738,0,9.283570289611816,0.0463783182203769,27.30318069458008,0.2743377685546875,set_-544517310278613198,candidate,C,fornax,102044188.0,19.332894768986424,3.621799224002668,0,0.0,0.0,0.0,0.0,0.0,185.11724781446927,1.171245533284304,data/raw/cutouts/-544517310278613198_VIS.fits,0.4,0.8
-549293718291744672,54.92937180145458,-29.17446723088924,757,11.05142307281494,0.1688323020935058,1,0.1146970316767692,2,2.37051010131836,1609.835693359375,10.177627563476562,0.1819623559713363,set_-549525883291619345,reference,unlabelled,fornax,,21.29145448755404,2.8790958795000727,1,85.80130365550099,0.1153785905097386,-0.0712689748760504,0.281206827133604,85.80130365550417,65.45798958954097,1.5820118602887747,data/raw/cutouts/-549293718291744672_VIS.fits,0.8,0.5
-549525883291619345,54.95258837432254,-29.16193451041988,892,12.290502548217772,0.1919948607683181,1,0.1106824353337287,0,1.9718378782272337,0.0285029802471399,6.029122829437256,0.1369064748287201,set_-549525883291619345,candidate,A,fornax,102042919.0,21.1760758970443,2.950364854376123,0,0.0,0.0,0.0,0.0,0.0,64.01474757727412,1.2134573167943288,data/raw/cutouts/-549525883291619345_VIS.fits,0.7,0.4
-555543235495627233,55.55432358532721,-49.56272337503402,1552,30.838022232055664,0.1731714159250259,1,0.132980540394783,0,7.198431491851807,0.0371164679527282,18.23807907104492,0.2691085338592529,set_-555738260495481326,reference,unlabelled,south,,20.17728370700403,3.1908917169221698,1,69.52280602245058,-0.0981700748635638,0.0011207605752958,0.1112570994487713,69.52280602245455,178.07801632462773,1.009353046175922,data/raw/cutouts/-555543235495627233_VIS.fits,0.4,0.8
-555738260495481326,55.57382601848325,-49.54813263966917,1548,28.17205238342285,0.2124693542718887,1,0.1785095930099487,258,6.101322174072266,0.039832018315792,13.98948097229004,0.2299685627222061,set_-555738260495481326,candidate,C,south,102020054.0,20.2754537818676,3.189770956346874,0,0.0,0.0,0.0,0.0,0.0,132.59348615222964,0.9009441095856224,data/raw/cutouts/-555738260495481326_VIS.fits,0.8,0.7
-569003084507675615,56.90030849946102,-50.76756153887766,1885,22.19147300720215,0.2479311525821685,1,0.2222517281770706,0,3.5574445724487305,0.0330461263656616,12.007277488708496,0.2282404750585556,set_-569003084507675615,candidate,C,south,102018664.0,20.53453467393013,3.275311354541812,0,0.0,0.0,0.0,0.0,0.0,89.50659397208072,1.320766012815796,data/raw/cutouts/-569003084507675615_VIS.fits,0.8,0.4
-569116453507596885,56.911645393888506,-50.75968852185136,1869,21.6040096282959,0.2518307864665985,1,0.2668429017066955,0,3.562644720077514,0.0339940711855888,10.891287803649902,0.2186621576547622,set_-569003084507675615,reference,unlabelled,south,,20.56366409459509,3.271609301378832,1,38.33706518604332,0.0291294206649581,-0.0037020531629798,0.0110307219919246,38.337065186041016,85.78780192612129,1.2132667984987535,data/raw/cutouts/-569116453507596885_VIS.fits,0.2,0.3
-569332420491967616,56.93324207249624,-49.19676167436321,1337,21.3524227142334,0.1782839149236679,1,0.718616783618927,0,3.454830884933472,0.0285480320453643,1.3135403394699097,16.711185455322266,set_-569646194491927719,reference,unlabelled,south,,20.57638210350264,3.126131407261985,1,75.2015434758478,-0.1187991274899182,-0.0285968001781711,0.182106605438578,75.20154347584993,119.76640025756345,-1.0499584466349172,data/raw/cutouts/-569332420491967616_VIS.fits,0.1,0.4
-569380954497924981,56.93809545828947,-49.79249811828738,1921,33.56489562988281,0.2541159987449646,1,0.2866827249526977,0,4.44106388092041,0.0367448069155216,12.974553108215332,0.2035434246063232,set_-569380954497924981,candidate,B,south,102019587.0,20.08528674729153,3.2835273648616936,0,0.0,0.0,0.0,0.0,0.0,132.0849367834142,1.1640134697221067,data/raw/cutouts/-569380954497924981_VIS.fits,0.6,0.5
-569392124497988715,56.9392124175211,-49.79887159087123,2343,42.84086227416992,0.2219103723764419,1,0.2197515815496444,0,7.024022579193115,0.0354464575648307,16.194833755493164,0.2324452400207519,set_-569380954497924981,reference,unlabelled,south,,19.82035449135902,3.369772288596963,1,23.09085412425323,-0.2649322559325107,0.0862449237352693,0.9662906856159093,23.090854124268503,193.0547987252079,0.9069764881134956,data/raw/cutouts/-569392124497988715_VIS.fits,0.2,0.6
-569646194491927719,56.9646194163331,-49.19277194890964,1428,19.13936424255371,0.1687562465667724,1,0.088884636759758,0,4.369175434112549,0.0318298079073429,9.615370750427246,0.2044917047023773,set_-569646194491927719,candidate,C,south,102020529.0,20.69518123099256,3.154728207440156,0,0.0,0.0,0.0,0.0,0.0,113.41425655008727,0.8564163782986296,data/raw/cutouts/-569646194491927719_VIS.fits,0.9,0.4
-571928631495947554,57.19286316195864,-49.594755430177614,2134,34.345088958740234,0.2113198488950729,1,0.1175433620810508,2,7.777026176452637,0.0416822060942649,18.362627029418945,39.4479866027832,set_-571928631495947554,candidate,B,south,102020056.0,20.06033838600166,3.329194415088451,0,0.0,0.0,0.0,0.0,0.0,162.52656406068922,0.9328031311135792,data/raw/cutouts/-571928631495947554_VIS.fits,1.0,0.8
-572135240496153431,57.21352403489648,-49.61534318955451,2102,31.302961349487305,0.2570047378540039,1,0.1019478067755699,2,3.801570415496826,0.0299483761191368,8.477615356445312,0.1738892793655395,set_-571928631495947554,reference,unlabelled,south,,20.16103643753123,3.3226327116922234,1,88.41134971003495,0.1006980515295694,-0.0065617033962275,0.1204455958186944,88.4113497100292,121.79916063364368,0.870776671983121,data/raw/cutouts/-572135240496153431_VIS.fits,0.2,0.4
-581199679484613010,58.119967906294704,-48.46130106505595,912,9.232906341552734,0.1697883903980255,1,0.1739706546068191,2,1.6918578147888184,0.02964280359447,5.04278039932251,0.1544925272464752,set_-581199679484613010,candidate,B,south,102021010.0,21.48665392473245,2.959994838328416,0,0.0,0.0,0.0,0.0,0.0,54.37890258520352,1.185765485916471,data/raw/cutouts/-581199679484613010_VIS.fits,1.0,0.7
-581409519484642340,58.140951920375485,-48.464234001326886,852,9.378772735595703,0.1817934662103653,1,0.7677479386329651,0,1.5055385828018188,0.030012559145689,4.351282596588135,0.1631519049406051,set_-581199679484613010,reference,unlabelled,south,,21.469634969358765,2.9304395947667,1,51.193376153088245,-0.0170189553736896,-0.0295552435617159,0.0273029673694439,45.1664755355478,51.59026301166898,1.1523134998901396,data/raw/cutouts/-581409519484642340_VIS.fits,0.1,0.5
-582019329494705421,58.20193296550151,-49.470542185359534,2180,29.90357208251953,0.207047089934349,1,0.2662537693977356,2,5.238087177276611,0.0354335941374301,18.104516983032227,0.2637489140033722,set_-582019329494705421,candidate,A,south,102020057.0,20.210692326591325,3.3384564936046046,0,0.0,0.0,0.0,0.0,0.0,144.4288451095904,1.3465355512815251,data/raw/cutouts/-582019329494705421_VIS.fits,0.7,0.9
-582119010494691925,58.21190109569908,-49.4691925873041,1898,27.6312255859375,0.2053596228361129,1,0.3211061656475067,0,5.067862510681152,0.0323641523718833,16.975051879882812,0.2491048872470855,set_-582019329494705421,reference,unlabelled,south,,20.296499628696303,3.2782962080912736,1,23.820711949826023,0.0858073021049783,-0.0601602855133309,0.1727778987086567,23.820711949828542,134.5504301397582,1.312465715371507,data/raw/cutouts/-582119010494691925_VIS.fits,1.0,0.7
-587754943477919337,58.77549438936675,-47.79193370803898,1116,32.10818862915039,0.1648337692022323,1,0.167502149939537,0,8.90921688079834,0.0445330031216144,20.378393173217773,0.2587271630764007,set_-587807121477852004,reference,unlabelled,south,,20.1334604857376,3.04766419460156,1,27.328300672881085,0.2710055906402289,-0.0890563725548467,1.014961008362252,27.328300672881547,194.79132695047028,0.8983260145672194,data/raw/cutouts/-587754943477919337_VIS.fits,0.4,0.6
-587807121477852004,58.78071211885828,-47.78520044646224,1370,41.211463928222656,0.1445627063512802,1,0.5428248047828674,2,11.403660774230955,0.0428374782204628,26.556591033935547,26.625185012817383,set_-587807121477852004,candidate,A,south,102021493.0,19.862454895097365,3.1367205671564067,0,0.0,0.0,0.0,0.0,0.0,285.07673222498227,0.9178200893834708,data/raw/cutouts/-587807121477852004_VIS.fits,0.3,0.5
-589048708512280578,58.90487083166256,-51.22805781351057,999,18.124446868896484,0.1490735113620758,1,0.2675012052059173,2,4.836460113525391,0.0391550958156585,14.403520584106444,24.190824508666992,set_-589105921512438416,reference,unlabelled,south,,20.75433809643747,2.9995654882259823,1,58.26684778983805,0.0013188877087735,-0.027784119548774,0.0222289470651523,58.26684778984096,121.58059941900136,1.1848526178170116,data/raw/cutouts/-589048708512280578_VIS.fits,0.5,0.5
-589105921512438416,58.9105921712665,-51.24384165288845,1065,18.14647674560547,0.1665808856487274,1,0.0531979128718376,0,5.121453762054443,0.0408698171377182,12.69810390472412,0.2171676903963089,set_-589105921512438416,candidate,C,south,102018667.0,20.75301920872869,3.0273496077747564,0,0.0,0.0,0.0,0.0,0.0,108.93492776759108,0.985864050790754,data/raw/cutouts/-589105921512438416_VIS.fits,0.9,0.6
