object_id,right_ascension,declination,segmentation_area,flux_detection_total,fluxerr_detection_total,vis_det,ellipticity,det_quality_flag,flux_vis_1fwhm_aper,fluxerr_vis_1fwhm_aper,flux_y_1fwhm_aper,fluxerr_y_1fwhm_aper,set_id,role,grade,field,tile_id,mag_total,log_area,reference_rank,match_distance_arcsec,match_delta_mag,match_delta_log_area,match_cost,nearest_published_candidate_arcsec,snr_total,color_vis_y,path_vis,candidate_neighbour_fraction
-506975229268471008,50.69752295797399,-26.847100801153484,2070,32.84154510498047,0.2093684524297714,1,0.1832843720912933,0,7.219400405883789,0.038761019706726,20.67236328125,0.2734038829803467,set_-506975229268471008,candidate,C,fornax,102045463.0,20.10894104675743,3.315970345456918,0,0.0,0.0,0.0,0.0,0.0,156.86004612369445,1.1422224970717507,data/raw/cutouts/-506975229268471008_VIS.fits,0.8
-507160367278169879,50.71603674183437,-27.81698793575472,1190,27.42662811279297,0.1371272802352905,1,0.1861773282289505,2,6.476994514465332,0.034329567104578,10.89027976989746,0.1983657628297805,set_-507160367278169879,candidate,C,fornax,102044181.0,20.304568955471144,3.0755469613925306,0,0.0,0.0,0.0,0.0,0.0,200.0085472834644,0.5641637690752909,data/raw/cutouts/-507160367278169879_VIS.fits,0.3
-507194923268535853,50.719492394710414,-26.853585327501964,1436,28.517087936401367,0.2299486100673675,1,0.5033652782440186,0,4.538867950439453,0.0371440425515174,10.914362907409668,0.1597554087638855,set_-506975229268471008,reference,unlabelled,fornax,,20.262237062909705,3.1571544399062814,1,74.32445887513872,0.1532960161522751,-0.1588159055506364,0.8964057719029047,74.32445887514034,124.01504809290556,0.9526271055012504,data/raw/cutouts/-507194923268535853_VIS.fits,0.0
-507209387278417771,50.72093871120807,-27.84177713926964,1522,32.46506118774414,0.1542773842811584,1,0.3650141656398773,514,8.79486083984375,0.0393345542252063,20.50125503540039,0.2721357345581054,set_-507160367278169879,reference,unlabelled,fornax,,20.121459435660903,3.182414652434554,1,90.59541251205394,-0.1831095198102375,0.1068676910420234,0.6650997315829228,67.24196177477633,210.4330543262201,0.9188786905904446,data/raw/cutouts/-507209387278417771_VIS.fits,0.1
-508246535276082598,50.824653561926,-27.60825980706444,1187,17.747997283935547,0.223901942372322,1,0.1810033768415451,0,3.242032051086426,0.0335223339498043,8.885958671569824,0.1755281686782837,set_-508273837276359918,reference,unlabelled,fornax,,20.777126616044317,3.074450718954591,1,100.21439116783326,-0.0513678538093458,0.0499650512554241,0.100341251957244,100.21439116784582,79.26683036283251,1.0947174624926097,data/raw/cutouts/-508246535276082598_VIS.fits,0.2
-508273837276359918,50.82738370107642,-27.635991838592243,1058,16.927865982055664,0.1557128280401229,1,0.4039446711540222,514,2.49939513206482,0.0277675129473209,7.911242961883545,0.204705074429512,set_-508273837276359918,candidate,C,fornax,102044821.0,20.82849446985366,3.024485667699167,0,0.0,0.0,0.0,0.0,0.0,108.7120836164752,1.2510245067085182,data/raw/cutouts/-508273837276359918_VIS.fits,0.7
-508494462270317269,50.84944620516868,-27.03172698203618,970,14.27371883392334,0.1576436161994934,1,0.1062553822994232,0,3.429227352142334,0.030295256525278,10.973199844360352,0.1753999590873718,set_-508678065270519062,reference,unlabelled,fornax,,21.013657155748596,2.9867717342662448,1,93.5049615795448,-0.1371052799203305,-0.0466520212207051,0.2707712293414798,93.5049615795444,90.54422359774064,1.2628425239500174,data/raw/cutouts/-508494462270317269_VIS.fits,0.8
-508678065270519062,50.86780657868912,-27.05190625945093,1080,12.580416679382324,0.1522771716117859,1,0.1191296651959419,2,2.579996109008789,0.0297605711966753,6.337722301483154,0.1529078185558319,set_-508678065270519062,candidate,C,fornax,102045463.0,21.150762435668923,3.03342375548695,0,0.0,0.0,0.0,0.0,0.0,82.6152505081637,0.9757853872561326,data/raw/cutouts/-508678065270519062_VIS.fits,1.0
-509449559274572380,50.94495595239306,-27.4572380334476,1240,19.34413146972656,0.2155076712369918,1,0.0616910606622695,0,3.023499250411988,0.030644217506051,11.794233322143556,0.217390090227127,set_-509449559274572380,candidate,A,fornax,102044821.0,20.68362691212653,3.093421685162235,0,0.0,0.0,0.0,0.0,0.0,89.7607558872185,1.4778996244655862,data/raw/cutouts/-509449559274572380_VIS.fits,0.9
-509462977274422830,50.94629777289976,-27.44228307102697,730,13.20129108428955,0.2216397821903228,1,0.4506213068962097,0,2.6647253036499023,0.0388853289186954,6.019197463989258,0.1756588518619537,set_-509462977274422830,candidate,C,fornax,102044821.0,21.0984589819545,2.863322860120456,0,0.0,0.0,0.0,0.0,0.0,59.56192049021939,0.8847153624549131,data/raw/cutouts/-509462977274422830_VIS.fits,0.6
